"","sample_name","genotype","id_name","age","tissue1","tissue2"
"ATGE_5_A.cel.gz","Col-0_leaf_1-2","Col-0","ATGE_5","7 days ","leaf ",""
"ATGE_5_B.cel.gz","Col-0_leaf_1-2","Col-0","ATGE_5","7 days ","leaf ",""
"ATGE_5_C.cel.gz","Col-0_leaf_1-2","Col-0","ATGE_5","7 days ","leaf ",""
"ATGE_6_A.cel.gz","Col-0_shoot_veg","Col-0","ATGE_6","7 days ","shoot","shoot apex "
"ATGE_6_B.cel.gz","Col-0_shoot_veg","Col-0","ATGE_6","7 days ","shoot","shoot apex "
"ATGE_6_C.cel.gz","Col-0_shoot_veg","Col-0","ATGE_6","7 days ","shoot","shoot apex "
"ATGE_8_A.cel.gz","Col-0_shoot_trans","Col-0","ATGE_8","14 days ","inflorescence","shoot "
"ATGE_8_B.cel.gz","Col-0_shoot_trans","Col-0","ATGE_8","14 days ","inflorescence","shoot "
"ATGE_8_C.cel.gz","Col-0_shoot_trans","Col-0","ATGE_8","14 days ","inflorescence","shoot "
"ATGE_10_A.cel.gz","Col-0_roset4_1l","Col-0","ATGE_10","10 days ","young leaf ",""
"ATGE_10_B.cel.gz","Col-0_roset4_1l","Col-0","ATGE_10","10 days ","young leaf ",""
"ATGE_10_C.cel.gz","Col-0_roset4_1l","Col-0","ATGE_10","10 days ","young leaf ",""
"ATGE_12_A.cel.gz","Col-0_roset2","Col-0","ATGE_12","17 days ","mature leaf ",""
"ATGE_12_B.cel.gz","Col-0_roset2","Col-0","ATGE_12","17 days ","mature leaf ",""
"ATGE_12_C.cel.gz","Col-0_roset2","Col-0","ATGE_12","17 days ","mature leaf ",""
"ATGE_15_A.cel.gz","Col-0_roset8","Col-0","ATGE_15","17 days ","young leaf ",""
"ATGE_15_B.cel.gz","Col-0_roset8","Col-0","ATGE_15","17 days ","young leaf ",""
"ATGE_15_C.cel.gz","Col-0_roset8","Col-0","ATGE_15","17 days ","young leaf ",""
"ATGE_22_A.cel.gz","Col-0_whole21d","Col-0","ATGE_22","21 days ","whole plant ",""
"ATGE_22_B.cel.gz","Col-0_whole21d","Col-0","ATGE_22","21 days ","whole plant ",""
"ATGE_22_C.cel.gz","Col-0_whole21d","Col-0","ATGE_22","21 days ","whole plant ",""
"ATGE_26_A.cel.gz","Col-0_cauline","Col-0","ATGE_26","21+ days ","cauline leaf ",""
"ATGE_26_B.cel.gz","Col-0_cauline","Col-0","ATGE_26","21+ days ","cauline leaf ",""
"ATGE_26_C.cel.gz","Col-0_cauline","Col-0","ATGE_26","21+ days ","cauline leaf ",""
"ATGE_27_A.cel.gz","Col-0_stem_2nd","Col-0","ATGE_27","21+ days ","internode","shoot "
"ATGE_27_B.cel.gz","Col-0_stem_2nd","Col-0","ATGE_27","21+ days ","internode","shoot "
"ATGE_27_C.cel.gz","Col-0_stem_2nd","Col-0","ATGE_27","21+ days ","internode","shoot "
