Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
BA12-S5_R1_001_trimmed_1P	0.0	0.0
BA12-S5_R1_001_trimmed_1U	0.0	0.0
BA12-S5_R1_001_trimmed_2P	0.0	0.0
BA12-S5_R1_001_trimmed_2U	0.5854580806643069	0.0
BA12-WYS_R1_001_trimmed_1P	0.0	0.0
BA12-WYS_R1_001_trimmed_1U	0.0	0.0
BA12-WYS_R1_001_trimmed_2P	0.0	0.0
BA12-WYS_R1_001_trimmed_2U	0.44997723061107625	0.0
BA12-gam_R1_001_trimmed_1P	0.0	0.0
BA12-gam_R1_001_trimmed_1U	0.0	0.0
BA12-gam_R1_001_trimmed_2P	0.0	0.0
BA12-gam_R1_001_trimmed_2U	1.1822954011378088	0.0
BA14-S5_R1_001_trimmed_1P	0.0	0.0
BA14-S5_R1_001_trimmed_1U	0.0	0.0
BA14-S5_R1_001_trimmed_2P	0.10477415190119377	0.0
BA14-S5_R1_001_trimmed_2U	0.3782933135035581	0.0
BA14-WYS_R1_001_trimmed_1P	0.0	0.0
BA14-WYS_R1_001_trimmed_1U	0.0	0.0
BA14-WYS_R1_001_trimmed_2P	0.0	0.0
BA14-WYS_R1_001_trimmed_2U	0.6909909169372406	0.0
BA14-gam_R1_001_trimmed_1P	0.0	0.0
BA14-gam_R1_001_trimmed_1U	0.0	0.0
BA14-gam_R1_001_trimmed_2P	0.14993875166538173	0.0
BA14-gam_R1_001_trimmed_2U	0.6642937693825768	0.12862982802368195
BA19-S5_R1_001_trimmed_1P	0.0	0.0
BA19-S5_R1_001_trimmed_1U	0.0	0.0
BA19-S5_R1_001_trimmed_2P	0.0	0.0
BA19-S5_R1_001_trimmed_2U	0.6109205010974382	0.0
BA19-WYS_R1_001_trimmed_1P	0.0	0.0
BA19-WYS_R1_001_trimmed_1U	0.0	0.0
BA19-WYS_R1_001_trimmed_2P	0.0	0.0
BA19-WYS_R1_001_trimmed_2U	0.5002584842898993	0.0
BA19-gam_R1_001_trimmed_1P	0.16207602665839108	0.9900800555598074
BA19-gam_R1_001_trimmed_1U	0.2115093391659107	1.293444741714941
BA19-gam_R1_001_trimmed_2P	0.4279899014236181	1.1790727384746391
BA19-gam_R1_001_trimmed_2U	37.46907231563645	0.4478036361123756
BD5-S5_R1_001_trimmed_1P	0.0	0.0
BD5-S5_R1_001_trimmed_1U	0.0	0.0
BD5-S5_R1_001_trimmed_2P	0.0	0.0
BD5-S5_R1_001_trimmed_2U	0.5138227962837073	0.0
BD5-WYS_R1_001_trimmed_1P	0.0	0.0
BD5-WYS_R1_001_trimmed_1U	0.0	0.0
BD5-WYS_R1_001_trimmed_2P	0.0	0.0
