Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
BA12-S5_R1_001	64.67186307901966	47.0	150.0	150	18.181818181818183	22.404695
BA12-S5_R2_001	64.67969791531743	47.0	150.0	150	18.181818181818183	22.404695
BA12-WYS_R1_001	58.02067918226397	45.0	150.0	150	9.090909090909092	28.298636
BA12-WYS_R2_001	57.97863667963319	45.0	150.0	150	9.090909090909092	28.298636
BA12-gam_R1_001	60.69385052881334	46.0	150.0	150	18.181818181818183	24.497956
BA12-gam_R2_001	59.88752604952766	46.0	150.0	150	9.090909090909092	24.497956
BA14-S5_R1_001	78.51109881950788	48.0	150.0	150	18.181818181818183	28.638303999999998
BA14-S5_R2_001	77.70183196529474	48.0	150.0	150	9.090909090909092	28.638303999999998
BA14-WYS_R1_001	51.659681558948215	45.0	150.0	150	9.090909090909092	23.129728
BA14-WYS_R2_001	51.13730867716881	45.0	150.0	150	9.090909090909092	23.129728
BA14-gam_R1_001	70.82721508218211	47.0	150.0	150	18.181818181818183	26.730715999999997
BA14-gam_R2_001	70.56663064640517	47.0	150.0	150	18.181818181818183	26.730715999999997
BA19-S5_R1_001	57.69494404708261	45.0	150.0	150	9.090909090909092	28.697051
BA19-S5_R2_001	57.82931522597884	46.0	150.0	150	9.090909090909092	28.697051
BA19-WYS_R1_001	59.76645820209155	46.0	150.0	150	18.181818181818183	23.128529
BA19-WYS_R2_001	59.56144004433388	46.0	150.0	150	18.181818181818183	23.128529
BA19-gam_R1_001	79.35876377067743	50.0	150.0	150	27.27272727272727	27.783763999999998
BA19-gam_R2_001	79.42521908873266	50.0	150.0	150	36.36363636363637	27.783763999999998
BD5-S5_R1_001	58.57992227145283	46.0	150.0	150	18.181818181818183	19.334357999999998
BD5-S5_R2_001	58.82117425248515	46.0	150.0	150	18.181818181818183	19.334357999999998
BD5-WYS_R1_001	61.93789305704868	46.0	150.0	150	18.181818181818183	23.23919
BD5-WYS_R2_001	61.822259412726574	46.0	150.0	150	18.181818181818183	23.23919
BD5-gam_R1_001	77.30097881853605	49.0	150.0	150	9.090909090909092	29.340885
BD5-gam_R2_001	77.40274029454176	50.0	150.0	150	27.27272727272727	29.340885
BF16-S5_R1_001	73.6485333543289	48.0	150.0	150	18.181818181818183	32.097947999999995
BF16-S5_R2_001	74.13776824600534	49.0	150.0	150	18.181818181818183	32.097947999999995
BF16-WYS_R1_001	56.84924803605279	45.0	150.0	150	18.181818181818183	24.354356
BF16-WYS_R2_001	56.59381345736346	46.0	150.0	150	18.181818181818183	24.354356
BF16-gam_R1_001	78.54457703826917	49.0	150.0	150	27.27272727272727	30.63963
BF16-gam_R2_001	78.72378490428206	50.0	150.0	150	27.27272727272727	30.63963
BF5-S5_R1_001	64.55576512774313	47.0	150.0	150	18.181818181818183	20.531865
BF5-S5_R2_001	64.69770953682465	47.0	150.0	150	18.181818181818183	20.531865
BF5-WYS_R1_001	59.1760708302587	46.0	150.0	150	9.090909090909092	23.847694999999998
BF5-WYS_R2_001	58.51351226774393	46.0	150.0	150	9.090909090909092	23.847694999999998
BF5-gam_R1_001	68.00726550996264	46.0	150.0	150	18.181818181818183	26.357816999999997
BF5-gam_R2_001	67.72528997501124	47.0	150.0	150	18.181818181818183	26.357816999999997
Cross-S5-1_R1_001	60.045739386121284	46.0	150.0	150	18.181818181818183	26.244173
Cross-S5-1_R2_001	59.19259013273931	46.0	150.0	150	9.090909090909092	26.244173
Cross-S5-2_R1_001	59.08183074086163	46.0	150.0	150	9.090909090909092	27.370876
Cross-S5-2_R2_001	59.01329503389775	46.0	150.0	150	9.090909090909092	27.370876
Cross-S5-3_R1_001	64.87632040964365	47.0	150.0	150	18.181818181818183	22.957694
Cross-S5-3_R2_001	64.54749690512875	47.0	150.0	150	18.181818181818183	22.957694
Cross-WYS-1_R1_001	59.19005972178473	46.0	150.0	150	18.181818181818183	24.240855
Cross-WYS-1_R2_001	58.79045956823881	46.0	150.0	150	18.181818181818183	24.240855
Cross-WYS-2_R1_001	56.87339905414348	46.0	150.0	150	9.090909090909092	23.202365999999998
Cross-WYS-2_R2_001	57.20810150738224	46.0	150.0	150	9.090909090909092	23.202365999999998
Cross-WYS-3_R1_001	58.56617369573333	46.0	150.0	150	18.181818181818183	25.278354999999998
Cross-WYS-3_R2_001	58.282371018087616	46.0	150.0	150	18.181818181818183	25.278354999999998
Cross-gam-1_R1_001	59.466060072964645	46.0	150.0	150	18.181818181818183	22.139022999999998
Cross-gam-1_R2_001	59.19650088842619	46.0	150.0	150	9.090909090909092	22.139022999999998
Cross-gam-2_R1_001	59.707029894080115	46.0	150.0	150	18.181818181818183	22.648197
Cross-gam-2_R2_001	59.693493422629544	46.0	150.0	150	18.181818181818183	22.648197
Cross-gam-3_R1_001	56.44209501623905	46.0	150.0	150	9.090909090909092	19.700709
Cross-gam-3_R2_001	56.03166421818882	46.0	150.0	150	9.090909090909092	19.700709
RESUB-WT-WYS-4_R1_001	56.97199280096206	45.0	150.0	150	9.090909090909092	24.455349
RESUB-WT-WYS-4_R2_001	56.85476399710038	45.0	150.0	150	9.090909090909092	24.455349
RNAi-S5-1_R1_001	67.72528289900723	46.0	150.0	150	18.181818181818183	20.560361999999998
RNAi-S5-1_R2_001	67.23245576517202	46.0	150.0	150	18.181818181818183	20.560361999999998
RNAi-S5-2_R1_001	64.3431786326755	46.0	150.0	150	18.181818181818183	26.042634
RNAi-S5-2_R2_001	64.42235485555784	47.0	150.0	150	18.181818181818183	26.042634
RNAi-S5-3_R1_001	68.9165842846685	47.0	150.0	150	18.181818181818183	23.202702
RNAi-S5-3_R2_001	69.15276239837563	47.0	150.0	150	9.090909090909092	23.202702
RNAi-WYS-1_R1_001	59.1472426117528	46.0	150.0	150	9.090909090909092	22.926461999999997
RNAi-WYS-1_R2_001	58.737633805320655	46.0	150.0	150	9.090909090909092	22.926461999999997
RNAi-WYS-2_R1_001	59.77185634065645	46.0	150.0	150	9.090909090909092	23.741493
RNAi-WYS-2_R2_001	59.02335486065645	46.0	150.0	150	9.090909090909092	23.741493
RNAi-WYS-3_R1_001	63.17002681138876	46.0	150.0	150	18.181818181818183	29.838842999999997
RNAi-WYS-3_R2_001	63.39490088312497	46.0	150.0	150	18.181818181818183	29.838842999999997
RNAi-gam-1_R1_001	55.72630274783279	46.0	150.0	150	18.181818181818183	21.5793
RNAi-gam-1_R2_001	55.33718314103173	46.0	150.0	150	9.090909090909092	21.5793
RNAi-gam-2_R1_001	61.383741344325756	46.0	150.0	150	18.181818181818183	24.648308
RNAi-gam-2_R2_001	60.45020956434399	46.0	150.0	150	9.090909090909092	24.648308
RNAi-gam-3_R1_001	52.97534520758997	45.0	150.0	150	9.090909090909092	28.056547
RNAi-gam-3_R2_001	52.64020825481771	45.0	150.0	150	9.090909090909092	28.056547
WT-S5-1_R1_001	60.60348742091358	46.0	150.0	150	18.181818181818183	23.342703999999998
WT-S5-1_R2_001	60.59123691184633	47.0	150.0	150	18.181818181818183	23.342703999999998
WT-S5-2_R1_001	64.63216089338889	46.0	150.0	150	18.181818181818183	25.652369999999998
WT-S5-2_R2_001	64.25153888818542	47.0	150.0	150	18.181818181818183	25.652369999999998
WT-S5-3_R1_001	63.13674482134142	47.0	150.0	150	9.090909090909092	24.080741999999997
WT-S5-3_R2_001	63.86634126257033	47.0	150.0	150	9.090909090909092	24.080741999999997
WT-WYS-2_R1_001	52.11859460624268	45.0	150.0	150	18.181818181818183	22.591032
WT-WYS-2_R2_001	52.2584213393419	45.0	150.0	150	18.181818181818183	22.591032
WT-WYS-3_R1_001	53.89905274257421	45.0	150.0	150	18.181818181818183	22.829708999999998
WT-WYS-3_R2_001	54.17425447708809	45.0	150.0	150	18.181818181818183	22.829708999999998
WT-male-gam-1_R1_001	52.48538954645392	45.0	150.0	150	18.181818181818183	24.050228
WT-male-gam-1_R2_001	52.64759829618557	45.0	150.0	150	18.181818181818183	24.050228
WT-male-gam-2_R1_001	53.26062858382511	45.0	150.0	150	9.090909090909092	26.042842999999998
WT-male-gam-2_R2_001	53.12468650565796	45.0	150.0	150	9.090909090909092	26.042842999999998
WT-male-gam-3_R1_001	54.33056802981117	45.0	150.0	150	9.090909090909092	27.921720999999998
WT-male-gam-3_R2_001	54.919869498067825	45.0	150.0	150	9.090909090909092	27.921720999999998
WT-mature-herm-1_R1_001	74.2403853079957	49.0	150.0	150	18.181818181818183	26.334569
WT-mature-herm-1_R2_001	74.39703948917511	49.0	150.0	150	27.27272727272727	26.334569
WT-mature-herm-2_R1_001	68.0453443828216	48.0	150.0	150	9.090909090909092	22.808263
WT-mature-herm-2_R2_001	67.30764109989093	48.0	150.0	150	9.090909090909092	22.808263
WT-mature-herm-3_R1_001	77.67530118662235	50.0	150.0	150	27.27272727272727	29.056081
WT-mature-herm-3_R2_001	77.71907303220006	50.0	150.0	150	36.36363636363637	29.056081
