module,GO.ID,Term,Annotated,Significant,Expected,p.value
black,GO:0009765,"photosynthesis, light harvesting",42,26,2.87,1.4e-20
black,GO:0015979,photosynthesis,204,67,13.96,5.5e-19
black,GO:0006457,protein folding,75,18,5.13,2.4e-6
blue,GO:0005975,carbohydrate metabolic process,349,133,105.84,5.3e-7
blue,GO:0007018,microtubule-based movement,75,41,22.75,1.6e-5
blue,GO:0006270,DNA replication initiation,8,8,2.43,7.1e-5
brown,GO:0006412,translation,236,50,16.27,2.4e-11
brown,GO:0006886,intracellular protein transport,62,13,4.27,4.7e-4
brown,GO:0006457,protein folding,75,14,5.17,5e-4
cyan,GO:0015986,proton motive force-driven ATP synthesis,51,29,2.18,2.4e-27
cyan,GO:0009767,photosynthetic electron transport chain,52,48,2.22,1.1e-26
cyan,GO:0006412,translation,236,49,10.07,1.1e-21
darkgreen,GO:0006468,protein phosphorylation,801,41,26.22,0.0019
darkgreen,GO:0006355,regulation of DNA-templated transcriptio...,460,24,15.06,0.0145
darkgreen,GO:0006812,monoatomic cation transport,168,9,5.5,0.0193
darkgrey,GO:0006633,fatty acid biosynthetic process,71,5,1.03,0.0034
darkgrey,GO:0006013,mannose metabolic process,2,1,0.03,0.0287
darkgrey,GO:0009664,plant-type cell wall organization,53,24,0.77,NA
darkmagenta,GO:0006979,response to oxidative stress,105,1,0.09,0.088
darkolivegreen,GO:0015996,chlorophyll catabolic process,1,1,0,0.0019
darkolivegreen,GO:0031124,mRNA 3'-end processing,2,1,0,0.0038
darkolivegreen,GO:0016560,"protein import into peroxisome matrix, d...",2,1,0,0.0038
darkred,GO:0006950,response to stress,340,18,5.92,5e-7
darkred,GO:0030418,nicotianamine biosynthetic process,3,2,0.05,8.9e-4
darkred,GO:0048544,recognition of pollen,13,3,0.23,0.00129
darkturquoise,GO:0031122,cytoplasmic microtubule organization,15,3,0.07,4.5e-5
darkturquoise,GO:0007020,microtubule nucleation,16,3,0.08,5.6e-5
darkturquoise,GO:0006952,defense response,32,2,0.16,0.01
green,GO:0006662,glycerol ether metabolic process,30,11,3.1,1.1e-4
green,GO:0007165,signal transduction,234,37,24.16,3e-4
green,GO:0006873,intracellular monoatomic ion homeostasis,11,6,1.14,0.00101
lightcyan,GO:0019836,hemolysis by symbiont of host erythrocyt...,12,12,0.33,1.3e-19
lightcyan,GO:0006413,translational initiation,13,4,0.36,3.3e-4
lightcyan,GO:0019290,siderophore biosynthetic process,35,6,0.97,3.4e-4
lightgreen,GO:0042545,cell wall modification,74,28,5.28,3e-14
lightgreen,GO:0042546,cell wall biogenesis,32,14,2.28,1.5e-7
lightgreen,GO:0006979,response to oxidative stress,105,23,7.49,8.6e-7
lightyellow,GO:0006468,protein phosphorylation,801,40,20.22,1.6e-5
lightyellow,GO:0015969,guanosine tetraphosphate metabolic proce...,5,2,0.13,0.006
lightyellow,GO:0007165,signal transduction,234,14,5.91,0.0089
midnightblue,GO:0016192,vesicle-mediated transport,45,7,0.85,0.0033
midnightblue,GO:0006396,RNA processing,89,9,1.67,0.0056
midnightblue,GO:0006508,proteolysis,230,10,4.32,0.0108
orange,GO:0006298,mismatch repair,13,4,0.15,1.2e-5
orange,GO:0006310,DNA recombination,31,5,0.37,2.7e-5
orange,GO:0006281,DNA repair,103,13,1.22,2.9e-5
paleturquoise,GO:0006855,xenobiotic transmembrane transport,26,3,0.25,0.0019
paleturquoise,GO:0006457,protein folding,75,5,0.73,0.0041
paleturquoise,GO:0019287,isopentenyl diphosphate biosynthetic pro...,1,1,0.01,0.0097
paleturquoise,GO:0006177,GMP biosynthetic process,1,1,0.01,0.0097
royalblue,GO:0006694,steroid biosynthetic process,17,3,0.23,0.0014
royalblue,GO:0006879,intracellular iron ion homeostasis,2,1,0.03,0.027
royalblue,GO:0007131,reciprocal meiotic recombination,2,1,0.03,0.027
saddlebrown,GO:0015689,molybdate ion transport,2,1,0.01,0.012
saddlebrown,GO:0034314,Arp2/3 complex-mediated actin nucleation,2,1,0.01,0.012
saddlebrown,GO:0006662,glycerol ether metabolic process,30,2,0.18,0.013
tan,GO:0006468,protein phosphorylation,801,139,70.7,3.9e-17
tan,GO:0016567,protein ubiquitination,41,16,3.62,1.4e-7
tan,GO:0000160,phosphorelay signal transduction system,49,12,4.33,8.7e-4
violet,GO:0007165,signal transduction,234,3,0.53,0.014
violet,GO:0006468,protein phosphorylation,801,5,1.81,0.025
violet,GO:0006817,phosphate ion transport,16,1,0.04,0.036
white,GO:0001678,intracellular glucose homeostasis,3,2,0.02,1.6e-4
white,GO:0046835,carbohydrate phosphorylation,4,2,0.03,3.1e-4
white,GO:0001522,pseudouridine synthesis,13,2,0.1,0.00387
yellow,GO:0006355,regulation of DNA-templated transcriptio...,460,79,27.23,2.1e-19
yellow,GO:0045454,cell redox homeostasis,104,25,6.16,8.6e-10
yellow,GO:0006468,protein phosphorylation,801,80,47.41,6.5e-7
