module,GO.ID,Term,Annotated,Significant,Expected,p.value
black,GO:0045454,cell redox homeostasis,98,15,4.96,0.00010
black,GO:0010207,photosystem II assembly,3,3,0.15,0.00013
black,GO:0000413,protein peptidyl-prolyl isomerization,14,5,0.71,0.00044
blue,GO:0007165,signal transduction,234,48,30.96,0.00013
blue,GO:0042546,cell wall biogenesis,32,12,4.23,0.00051
blue,GO:0006355,regulation of DNA-templated transcriptio...,452,82,59.8,0.00121
brown,GO:0006812,monoatomic cation transport,161,37,21.8,0.00039
brown,GO:0055085,transmembrane transport,435,89,58.91,0.00130
brown,GO:0006873,intracellular monoatomic ion homeostasis,12,6,1.63,0.00270
cyan,GO:0000160,phosphorelay signal transduction system,49,6,1.23,0.0013
cyan,GO:0045893,positive regulation of DNA-templated tra...,4,2,0.1,0.0036
cyan,GO:0006468,protein phosphorylation,779,30,19.49,0.0090
darkgreen,GO:0006355,regulation of DNA-templated transcriptio...,452,20,9.98,0.0019
darkgreen,GO:0009228,thiamine biosynthetic process,4,2,0.09,0.0028
darkgreen,GO:0008152,metabolic process,3890,95,85.89,0.0041
darkgrey,GO:0006002,fructose 6-phosphate metabolic process,4,2,0.05,0.00086
darkgrey,GO:0006367,transcription initiation at RNA polymera...,6,2,0.07,0.00211
darkgrey,GO:0006334,nucleosome assembly,10,2,0.12,0.00614
darkmagenta,GO:0006355,regulation of DNA-templated transcriptio...,452,6,1.58,0.0034
darkmagenta,GO:0006468,protein phosphorylation,779,6,2.72,0.0440
darkorange,GO:0006508,proteolysis,196,7,2.45,0.011
darkorange,GO:0042752,regulation of circadian rhythm,1,1,0.01,0.013
darkorange,GO:0009688,abscisic acid biosynthetic process,1,1,0.01,0.013
darkorange,GO:0019288,isopentenyl diphosphate biosynthetic pro...,1,1,0.01,0.013
darkorange,GO:0050992,dimethylallyl diphosphate biosynthetic p...,1,1,0.01,0.013
darkred,GO:0016559,peroxisome fission,5,2,0.06,0.0012
darkred,GO:0006470,protein dephosphorylation,86,4,0.95,0.0145
darkred,GO:0030150,protein import into mitochondrial matrix,2,1,0.02,0.0220
darkturquoise,GO:0042549,photosystem II stabilization,2,2,0.1,0.0024
darkturquoise,GO:0019646,aerobic electron transport chain,4,2,0.2,0.0133
darkturquoise,GO:0009439,cyanate metabolic process,5,2,0.24,0.0215
greenyellow,GO:0006468,protein phosphorylation,779,38,22.22,0.00045
greenyellow,GO:0006542,glutamine biosynthetic process,6,2,0.17,0.01124
greenyellow,GO:0005985,sucrose metabolic process,9,2,0.26,0.02550
grey60,GO:0051225,spindle assembly,2,2,0.05,0.00052
grey60,GO:0006075,(1->3)-beta-D-glucan biosynthetic proces...,9,3,0.21,0.00090
grey60,GO:0005975,carbohydrate metabolic process,342,18,7.87,0.00201
lightcyan,GO:0046677,response to antibiotic,1,1,0.01,0.013
lightcyan,GO:0006814,sodium ion transport,16,2,0.21,0.018
lightcyan,GO:0006869,lipid transport,46,3,0.61,0.023
lightgreen,GO:0007165,signal transduction,234,10,3.7,0.00037
lightgreen,GO:0006364,rRNA processing,11,3,0.17,0.00058
lightgreen,GO:0006479,protein methylation,12,2,0.19,0.01474
lightyellow,GO:0006396,RNA processing,75,10,1.21,0.00012
lightyellow,GO:0016579,protein deubiquitination,4,2,0.06,0.00152
lightyellow,GO:0006886,intracellular protein transport,68,5,1.1,0.00464
magenta,GO:0006979,response to oxidative stress,91,21,8.99,0.00015
magenta,GO:0006556,S-adenosylmethionine biosynthetic proces...,4,3,0.4,0.00356
magenta,GO:0046835,carbohydrate phosphorylation,4,3,0.4,0.00356
midnightblue,GO:0009607,response to biotic stimulus,18,3,0.34,0.0043
midnightblue,GO:0006952,defense response,31,3,0.58,0.0197
midnightblue,GO:0006535,cysteine biosynthetic process from serin...,14,2,0.26,0.0274
paleturquoise,GO:0009058,biosynthetic process,1341,24,21.22,0.025
paleturquoise,GO:0009651,response to salt stress,2,1,0.03,0.031
paleturquoise,GO:0055075,potassium ion homeostasis,2,1,0.03,0.031
purple,GO:0016567,protein ubiquitination,42,5,1.07,0.0039
purple,GO:0009864,"induced systemic resistance, jasmonic ac...",6,2,0.15,0.0090
purple,GO:0009694,jasmonic acid metabolic process,6,2,0.15,0.0090
saddlebrown,GO:0006814,sodium ion transport,16,3,0.26,0.0021
saddlebrown,GO:0055085,transmembrane transport,435,15,7.2,0.0040
saddlebrown,GO:0006869,lipid transport,46,4,0.76,0.0164
skyblue,GO:0033014,tetrapyrrole biosynthetic process,36,8,0.54,0.00022
skyblue,GO:0015995,chlorophyll biosynthetic process,19,3,0.29,0.00269
skyblue,GO:0006779,porphyrin-containing compound biosynthet...,27,5,0.41,0.00556
tan,GO:0006355,regulation of DNA-templated transcriptio...,452,19,8.23,0.00042
tan,GO:0006839,mitochondrial transport,9,2,0.16,0.01088
tan,GO:0006529,asparagine biosynthetic process,1,1,0.02,0.01822
tan,GO:0030212,hyaluronan metabolic process,1,1,0.02,0.01822
turquoise,GO:0007076,mitotic chromosome condensation,6,6,1.37,0.00014
turquoise,GO:0006298,mismatch repair,13,9,2.98,0.00049
turquoise,GO:0032147,activation of protein kinase activity,5,5,1.15,0.00063
turquoise,GO:0060236,regulation of mitotic spindle organizati...,5,5,1.15,0.00063
violet,GO:0006886,intracellular protein transport,68,3,0.35,0.0049
violet,GO:0006850,mitochondrial pyruvate transmembrane tra...,1,1,0.01,0.0052
violet,GO:0006465,signal peptide processing,2,1,0.01,0.0103
white,GO:0000272,polysaccharide catabolic process,7,2,0.05,0.00098
white,GO:0008152,metabolic process,3890,31,27.2,0.03333
white,GO:0044238,primary metabolic process,3001,24,20.98,0.03636
