"query","GO.ID","Term","Annotated","Significant","Expected","p_value","source","logPval"
"Ceric.05G066500.1","GO:0007165","signal transduction",327,1,0.08,0.081,"BP",1.09151498112135
"Ceric.15G011900.1","GO:0006508","proteolysis",350,1,0.13,0.13,"BP",0.886056647693163
"Ceric.34G055100.1","GO:0009956","radial pattern formation",1,1,0,0.0011,"BP",2.95860731484178
"Ceric.34G055100.1","GO:0048366","leaf development",1,1,0,0.0011,"BP",2.95860731484178
"Ceric.34G055100.1","GO:0008356","asymmetric cell division",1,1,0,0.0011,"BP",2.95860731484178
"Ceric.34G055100.1","GO:0015693","magnesium ion transport",7,1,0.01,0.0079,"BP",2.10237290870956
"Ceric.34G055100.1","GO:0010468","regulation of gene expression",628,3,0.71,0.0236,"BP",1.62708799702989
"Ceric.37G009800.1","GO:0005992","trehalose biosynthetic process",20,1,0.01,0.005,"BP",2.30102999566398
"Ceric.37G009800.1","GO:0006633","fatty acid biosynthetic process",87,1,0.02,0.022,"BP",1.65757731917779
"Ceric.39G000700.1","GO:0044571","[2Fe-2S] cluster assembly",2,1,0,5e-04,"BP",3.30102999566398
"Ceric.39G000700.1","GO:0006749","glutathione metabolic process",8,1,0,0.002,"BP",2.69897000433602
"Ceric.39G000700.1","GO:0045454","cell redox homeostasis",140,1,0.04,0.035,"BP",1.45593195564972
"hubs","GO:0044571","[2Fe-2S] cluster assembly",2,1,0,0.00076,"BP",3.11918640771921
"hubs","GO:0006633","fatty acid biosynthetic process",87,1,0.03,0.03255,"BP",1.48744900709579
