"query","GO.ID","Term","Annotated","Significant","Expected","p_value","source","logPval"
"Ceric.02G085000.1","GO:0006075","(1->3)-beta-D-glucan biosynthetic proces...",16,1,0.02,0.016,"BP",1.79588001734408
"Ceric.02G085000.1","GO:0006820","monoatomic anion transport",17,1,0.02,0.017,"BP",1.76955107862173
"Ceric.02G085000.1","GO:0006355","regulation of DNA-templated transcriptio...",603,3,0.61,0.018,"BP",1.74472749489669
"Ceric.02G085000.1","GO:0007275","multicellular organism development",25,1,0.03,0.025,"BP",1.60205999132796
"Ceric.04G051800.1","GO:0006355","regulation of DNA-templated transcriptio...",603,4,0.76,0.0048,"BP",2.31875876262441
"Ceric.04G051800.1","GO:0009107","lipoate biosynthetic process",5,1,0.01,0.0063,"BP",2.20065945054642
"Ceric.04G051800.1","GO:0009116","nucleoside metabolic process",18,1,0.02,0.0225,"BP",1.64781748188864
"Ceric.04G051800.1","GO:0006352","DNA-templated transcription initiation",38,1,0.05,0.0469,"BP",1.32882715728492
"Ceric.05G066500.1","GO:0007165","signal transduction",327,1,0.08,0.081,"BP",1.09151498112135
"Ceric.08G017200.1","GO:0016998","cell wall macromolecule catabolic proces...",8,1,0,0.004,"BP",2.39794000867204
"Ceric.08G017200.1","GO:0006888","endoplasmic reticulum to Golgi vesicle-m...",17,1,0.01,0.0085,"BP",2.07058107428571
"Ceric.08G017200.1","GO:0030163","protein catabolic process",69,1,0.03,0.0344,"BP",1.46344155742847
"Ceric.08G017200.1","GO:0016192","vesicle-mediated transport",129,2,0.07,0.0349,"BP",1.45717457304082
"Ceric.08G018900.1","GO:0006468","protein phosphorylation",983,3,0.62,0.016,"BP",1.79588001734408
"Ceric.09G051000.1","GO:0006419","alanyl-tRNA aminoacylation",3,1,0,0.0019,"BP",2.72124639904717
"Ceric.09G051000.1","GO:0009107","lipoate biosynthetic process",5,1,0,0.0031,"BP",2.50863830616573
"Ceric.09G051000.1","GO:0030042","actin filament depolymerization",12,1,0.01,0.0075,"BP",2.1249387366083
"Ceric.12G070200.1","GO:0006412","translation",447,11,1.18,1.9e-08,"BP",7.72124639904717
"Ceric.12G070200.1","GO:0044571","[2Fe-2S] cluster assembly",2,1,0.01,0.0053,"BP",2.27572413039921
"Ceric.12G070200.1","GO:0030042","actin filament depolymerization",12,1,0.03,0.0313,"BP",1.50445566245355
"Ceric.12G070200.1","GO:0006888","endoplasmic reticulum to Golgi vesicle-m...",17,1,0.05,0.0441,"BP",1.35556141053216
"Ceric.15G011900.1","GO:0006508","proteolysis",350,1,0.13,0.13,"BP",0.886056647693163
"Ceric.1Z103300.1","GO:0006166","purine ribonucleoside salvage",2,1,0,0.0018,"BP",2.74472749489669
"Ceric.1Z103300.1","GO:0006412","translation",447,3,0.39,0.0052,"BP",2.2839966563652
"Ceric.21G025700.1","GO:0051252","regulation of RNA metabolic process",605,2,0.38,0.0011,"BP",2.95860731484178
"Ceric.21G025700.1","GO:0006099","tricarboxylic acid cycle",14,1,0.01,0.0088,"BP",2.05551732784983
"Ceric.21G025700.1","GO:0019290","siderophore biosynthetic process",41,1,0.03,0.0256,"BP",1.59176003468815
"Ceric.22G078900.1","GO:0009956","radial pattern formation",1,1,0,0.00038,"BP",3.42021640338319
"Ceric.22G078900.1","GO:0008356","asymmetric cell division",1,1,0,0.00038,"BP",3.42021640338319
"Ceric.22G078900.1","GO:0048366","leaf development",1,1,0,0.00038,"BP",3.42021640338319
"Ceric.22G078900.1","GO:0006511","ubiquitin-dependent protein catabolic pr...",46,1,0.02,0.0173,"BP",1.7619538968712
"Ceric.22G078900.1","GO:0006979","response to oxidative stress",105,1,0.04,0.03919,"BP",1.4068247365219
"Ceric.32G054200.1","GO:0015693","magnesium ion transport",7,1,0,0.0044,"BP",2.35654732351381
"Ceric.32G054200.1","GO:0007034","vacuolar transport",17,1,0.01,0.0107,"BP",1.97061622231479
"Ceric.34G055100.1","GO:0009956","radial pattern formation",1,1,0,0.0011,"BP",2.95860731484178
"Ceric.34G055100.1","GO:0048366","leaf development",1,1,0,0.0011,"BP",2.95860731484178
"Ceric.34G055100.1","GO:0008356","asymmetric cell division",1,1,0,0.0011,"BP",2.95860731484178
"Ceric.34G055100.1","GO:0015693","magnesium ion transport",7,1,0.01,0.0079,"BP",2.10237290870956
"Ceric.34G055100.1","GO:0010468","regulation of gene expression",628,3,0.71,0.0236,"BP",1.62708799702989
"Ceric.37G009800.1","GO:0005992","trehalose biosynthetic process",20,1,0.01,0.005,"BP",2.30102999566398
"Ceric.37G009800.1","GO:0006633","fatty acid biosynthetic process",87,1,0.02,0.022,"BP",1.65757731917779
"Ceric.39G000700.1","GO:0044571","[2Fe-2S] cluster assembly",2,1,0,5e-04,"BP",3.30102999566398
"Ceric.39G000700.1","GO:0006749","glutathione metabolic process",8,1,0,0.002,"BP",2.69897000433602
"Ceric.39G000700.1","GO:0045454","cell redox homeostasis",140,1,0.04,0.035,"BP",1.45593195564972
"hubs","GO:0044571","[2Fe-2S] cluster assembly",2,1,0,0.001,"BP",3
"hubs","GO:0006633","fatty acid biosynthetic process",87,1,0.04,0.043,"BP",1.36653154442041
