Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
BA12-S5_R1_001	0.0	0.0
BA12-S5_R2_001	0.0	0.0
BA12-WYS_R1_001	0.0	0.0
BA12-WYS_R2_001	0.0	0.0
BA12-gam_R1_001	0.0	0.0
BA12-gam_R2_001	0.0	0.0
BA14-S5_R1_001	0.0	0.0
BA14-S5_R2_001	0.0	0.0
BA14-WYS_R1_001	0.0	0.0
BA14-WYS_R2_001	0.0	0.0
BA14-gam_R1_001	0.0	0.0
BA14-gam_R2_001	0.14092776265327125	0.0
BA19-S5_R1_001	0.0	0.0
BA19-S5_R2_001	0.0	0.0
BA19-WYS_R1_001	0.0	0.0
BA19-WYS_R2_001	0.0	0.0
BA19-gam_R1_001	0.19205461146301125	1.1418251321167283
BA19-gam_R2_001	1.3151457808236493	0.8962032646116633
BD5-S5_R1_001	0.0	0.0
BD5-S5_R2_001	0.0	0.0
BD5-WYS_R1_001	0.0	0.0
BD5-WYS_R2_001	0.0	0.0
BD5-gam_R1_001	0.813925687653934	0.4865497410865418
BD5-gam_R2_001	1.532694054729433	0.3659296575410047
BF16-S5_R1_001	0.17269639791303795	0.28448859098407164
BF16-S5_R2_001	0.9146316767663778	0.129634455137132
BF16-WYS_R1_001	0.0	0.0
BF16-WYS_R2_001	0.0	0.0
BF16-gam_R1_001	1.0643764301331315	0.34506291361873487
BF16-gam_R2_001	1.718760964150024	0.3495929944323739
BF5-S5_R1_001	0.0	0.0
BF5-S5_R2_001	0.0	0.0
BF5-WYS_R1_001	0.0	0.0
BF5-WYS_R2_001	0.0	0.0
BF5-gam_R1_001	0.0	0.0
BF5-gam_R2_001	0.0	0.0
Cross-S5-1_R1_001	0.0	0.0
Cross-S5-1_R2_001	0.0	0.0
Cross-S5-2_R1_001	0.0	0.0
Cross-S5-2_R2_001	0.0	0.0
Cross-S5-3_R1_001	0.0	0.0
Cross-S5-3_R2_001	0.14071970817278076	0.0
Cross-WYS-1_R1_001	0.0	0.0
Cross-WYS-1_R2_001	0.0	0.0
Cross-WYS-2_R1_001	0.0	0.0
Cross-WYS-2_R2_001	0.0	0.0
Cross-WYS-3_R1_001	0.0	0.0
Cross-WYS-3_R2_001	0.0	0.0
Cross-gam-1_R1_001	0.0	0.0
Cross-gam-1_R2_001	0.0	0.0
Cross-gam-2_R1_001	0.0	0.0
Cross-gam-2_R2_001	0.0	0.0
Cross-gam-3_R1_001	0.0	0.0
Cross-gam-3_R2_001	0.0	0.0
RESUB-WT-WYS-4_R1_001	0.0	0.0
RESUB-WT-WYS-4_R2_001	0.0	0.0
RNAi-S5-1_R1_001	0.0	0.0
RNAi-S5-1_R2_001	0.0	0.0
RNAi-S5-2_R1_001	0.15744951144342773	0.0
RNAi-S5-2_R2_001	0.19822495681504412	0.0
RNAi-S5-3_R1_001	0.0	0.0
RNAi-S5-3_R2_001	0.11833535594259667	0.10744869282896449
RNAi-WYS-1_R1_001	0.0	0.0
RNAi-WYS-1_R2_001	0.0	0.0
RNAi-WYS-2_R1_001	0.0	0.0
RNAi-WYS-2_R2_001	0.12299142265400073	0.0
RNAi-WYS-3_R1_001	0.0	0.0
RNAi-WYS-3_R2_001	0.0	0.0
RNAi-gam-1_R1_001	0.0	0.0
RNAi-gam-1_R2_001	0.0	0.0
RNAi-gam-2_R1_001	0.11122873018302108	0.0
RNAi-gam-2_R2_001	0.14715411702904718	0.1002543460589668
RNAi-gam-3_R1_001	0.0	0.0
RNAi-gam-3_R2_001	0.0	0.0
WT-S5-1_R1_001	0.0	0.0
WT-S5-1_R2_001	0.0	0.0
WT-S5-2_R1_001	0.0	0.0
WT-S5-2_R2_001	0.0	0.0
WT-S5-3_R1_001	0.0	0.0
WT-S5-3_R2_001	0.0	0.0
WT-WYS-2_R1_001	0.0	0.0
WT-WYS-2_R2_001	0.0	0.0
WT-WYS-3_R1_001	0.0	0.0
WT-WYS-3_R2_001	0.0	0.0
WT-male-gam-1_R1_001	0.0	0.0
WT-male-gam-1_R2_001	0.0	0.0
WT-male-gam-2_R1_001	0.0	0.0
WT-male-gam-2_R2_001	0.0	0.0
WT-male-gam-3_R1_001	0.0	0.0
WT-male-gam-3_R2_001	0.0	0.0
WT-mature-herm-1_R1_001	0.25063254310332556	0.46158340392812197
WT-mature-herm-1_R2_001	1.240475969058009	0.25094771818745176
WT-mature-herm-2_R1_001	0.14667052900959623	0.10991630533197552
WT-mature-herm-2_R2_001	0.19659980244878797	0.13851558972289998
WT-mature-herm-3_R1_001	0.31363142193883614	0.7213154451214534
WT-mature-herm-3_R2_001	1.0675699864685813	0.9242953308121629
