"hubGene","genes","cor"
"Ceric.31G036600.1","Ceric.31G036600.1",1
"Ceric.31G036600.1","Ceric.07G065500.1",0.958
"Ceric.31G036600.1","Ceric.21G085900.1",0.936
"Ceric.31G036600.1","Ceric.18G081600.1",0.929
"Ceric.31G036600.1","Ceric.04G023600.1",0.927
"Ceric.31G036600.1","Ceric.12G062600.1",0.926
"Ceric.31G036600.1","Ceric.26G040300.1",0.925
"Ceric.31G036600.1","Ceric.15G046200.1",0.923
"Ceric.31G036600.1","Ceric.07G065600.1",0.921
"Ceric.31G036600.1","Ceric.17G047900.1",0.919
"Ceric.01G002000.1","Ceric.01G002000.1",1
"Ceric.01G002000.1","Ceric.29G046400.1",0.941
"Ceric.01G002000.1","Ceric.33G059500.1",0.941
"Ceric.01G002000.1","Ceric.30G023600.1",0.935
"Ceric.01G002000.1","Ceric.09G061800.1",0.93
"Ceric.01G002000.1","Ceric.31G027000.1",0.926
"Ceric.01G002000.1","Ceric.03G090700.1",0.925
"Ceric.01G002000.1","Ceric.02G098700.1",0.923
"Ceric.01G002000.1","Ceric.09G060600.1",0.92
"Ceric.01G002000.1","Ceric.17G084800.1",0.919
"Ceric.03G063200.1","Ceric.03G063200.1",1
"Ceric.03G063200.1","Ceric.22G054400.1",0.908
"Ceric.03G063200.1","Ceric.21G002400.1",0.88
"Ceric.03G063200.1","Ceric.30G034100.1",0.878
"Ceric.03G063200.1","Ceric.33G028600.1",0.878
"Ceric.03G063200.1","Ceric.20G082200.1",0.872
"Ceric.03G063200.1","Ceric.16G069800.1",0.871
"Ceric.03G063200.1","Ceric.12G047500.1",0.87
"Ceric.03G063200.1","Ceric.26G007400.1",0.867
"Ceric.03G063200.1","Ceric.05G078400.1",0.865
"Ceric.03G063200.1","Ceric.07G072700.1",0.861
"Ceric.03G063200.1","Ceric.38G053300.1",0.859
"Ceric.03G063200.1","Ceric.01G024800.1",0.858
"Ceric.03G063200.1","Ceric.11G081300.1",0.858
"Ceric.03G063200.1","Ceric.16G072100.1",0.858
"Ceric.03G063200.1","Ceric.13G046900.1",0.857
"Ceric.03G063200.1","Ceric.24G079200.1",0.856
"Ceric.03G063200.1","Ceric.16G066500.1",0.855
"Ceric.03G063200.1","Ceric.18G025100.1",0.855
"Ceric.03G063200.1","Ceric.29G046400.1",0.855
"Ceric.03G063200.1","Ceric.04G093600.1",0.852
"Ceric.03G063200.1","Ceric.17G015700.1",0.849
"Ceric.03G063200.1","Ceric.32G043600.1",0.849
"Ceric.03G063200.1","Ceric.06G083000.1",0.848
