"hubGene","genes","cor"
"Ceric.33G049200.1","Ceric.33G049200.1",1
"Ceric.33G049200.1","Ceric.28G016000.1",0.931
"Ceric.33G049200.1","Ceric.16G009800.1",0.93
"Ceric.33G049200.1","Ceric.14G089800.1",0.927
"Ceric.33G049200.1","Ceric.02G093300.1",0.926
"Ceric.33G049200.1","Ceric.27G032000.1",0.926
"Ceric.33G049200.1","Ceric.35G066000.1",0.926
"Ceric.33G049200.1","Ceric.12G017700.1",0.925
"Ceric.33G049200.1","Ceric.19G020700.1",0.923
"Ceric.33G049200.1","Ceric.21G055900.1",0.923
"Ceric.33G049200.1","Ceric.03G066800.1",0.922
"Ceric.33G049200.1","Ceric.27G013100.1",0.92
"Ceric.33G049200.1","Ceric.11G052300.1",0.919
"Ceric.33G049200.1","Ceric.27G029900.1",0.919
"Ceric.33G049200.1","Ceric.35G052900.1",0.919
"Ceric.33G049200.1","Ceric.01G018500.1",0.918
"Ceric.33G049200.1","Ceric.22G008000.1",0.918
"Ceric.33G049200.1","Ceric.04G087600.1",0.917
"Ceric.33G049200.1","Ceric.1Z027200.1",0.917
"Ceric.33G049200.1","Ceric.39G045500.1",0.917
"Ceric.33G049200.1","Ceric.27G002300.1",0.916
"Ceric.33G049200.1","Ceric.18G044200.1",0.915
"Ceric.33G049200.1","Ceric.21G046500.1",0.915
"Ceric.33G049200.1","Ceric.33G056600.1",0.915
"Ceric.33G049200.1","Ceric.17G054700.1",0.914
"Ceric.33G049200.1","Ceric.18G081400.1",0.914
"Ceric.33G049200.1","Ceric.03G090700.1",0.913
"Ceric.33G049200.1","Ceric.04G002100.1",0.913
"Ceric.33G049200.1","Ceric.32G005700.1",0.913
"Ceric.33G049200.1","Ceric.04G011600.1",0.912
"Ceric.03G063200.1","Ceric.03G063200.1",1
"Ceric.03G063200.1","Ceric.22G054400.1",0.908
"Ceric.03G063200.1","Ceric.21G002400.1",0.88
"Ceric.03G063200.1","Ceric.30G034100.1",0.878
"Ceric.03G063200.1","Ceric.33G028600.1",0.878
"Ceric.03G063200.1","Ceric.20G082200.1",0.872
"Ceric.03G063200.1","Ceric.16G069800.1",0.871
"Ceric.03G063200.1","Ceric.12G047500.1",0.87
"Ceric.03G063200.1","Ceric.26G007400.1",0.867
"Ceric.03G063200.1","Ceric.05G078400.1",0.865
"Ceric.03G063200.1","Ceric.07G072700.1",0.861
"Ceric.03G063200.1","Ceric.38G053300.1",0.859
"Ceric.03G063200.1","Ceric.01G024800.1",0.858
"Ceric.03G063200.1","Ceric.11G081300.1",0.858
"Ceric.03G063200.1","Ceric.16G072100.1",0.858
"Ceric.03G063200.1","Ceric.13G046900.1",0.857
"Ceric.03G063200.1","Ceric.24G079200.1",0.856
"Ceric.03G063200.1","Ceric.16G066500.1",0.855
"Ceric.03G063200.1","Ceric.18G025100.1",0.855
"Ceric.03G063200.1","Ceric.29G046400.1",0.855
"Ceric.03G063200.1","Ceric.04G093600.1",0.852
"Ceric.03G063200.1","Ceric.17G015700.1",0.849
"Ceric.03G063200.1","Ceric.32G043600.1",0.849
"Ceric.03G063200.1","Ceric.06G083000.1",0.848
"Ceric.03G063200.1","Ceric.20G088400.1",0.847
"Ceric.03G063200.1","Ceric.38G033600.1",0.844
"Ceric.03G063200.1","Ceric.07G064500.1",0.843
"Ceric.03G063200.1","Ceric.06G056900.1",0.842
"Ceric.03G063200.1","Ceric.13G002500.1",0.841
"Ceric.03G063200.1","Ceric.11G063400.1",0.84
"Ceric.22G030500.1","Ceric.22G030500.1",1
"Ceric.22G030500.1","Ceric.09G047100.1",0.737
"Ceric.22G030500.1","Ceric.34G064100.1",0.727
"Ceric.22G030500.1","Ceric.32G059600.1",0.723
"Ceric.22G030500.1","Ceric.20G032600.1",0.721
"Ceric.22G030500.1","Ceric.30G001800.1",0.721
"Ceric.22G030500.1","Ceric.04G029800.1",0.72
"Ceric.22G030500.1","Ceric.18G022700.1",0.72
"Ceric.22G030500.1","Ceric.02G006300.1",0.719
"Ceric.22G030500.1","Ceric.05G034100.1",0.719
"Ceric.38G046200.1","Ceric.38G046200.1",1
"Ceric.38G046200.1","Ceric.03G029300.1",0.88
"Ceric.38G046200.1","Ceric.03G065000.1",0.84
"Ceric.38G046200.1","Ceric.15G054600.1",0.819
"Ceric.38G046200.1","Ceric.07G065900.1",0.818
"Ceric.38G046200.1","Ceric.19G009200.1",0.815
"Ceric.38G046200.1","Ceric.03G064900.1",0.814
"Ceric.38G046200.1","Ceric.07G065800.1",0.787
"Ceric.38G046200.1","Ceric.10G055100.1",0.783
