module,GO.ID,Term,Annotated,Significant,Expected,p.value
black,GO:0015979,photosynthesis,186,40,9.41,1.1e-15
black,GO:0006412,translation,161,41,8.15,1.1e-13
black,GO:0006662,glycerol ether metabolic process,27,11,1.37,2.9e-8
blue,GO:0042545,cell wall modification,64,21,8.47,4.1e-5
blue,GO:0007165,signal transduction,234,48,30.96,1.3e-4
blue,GO:0042546,cell wall biogenesis,32,12,4.23,5.1e-4
brown,GO:0006950,response to stress,322,49,43.6,3.1e-8
brown,GO:0006468,protein phosphorylation,779,147,105.49,3.9e-6
brown,GO:0006810,transport,792,159,107.25,3.4e-5
cyan,GO:0000160,phosphorelay signal transduction system,49,6,1.23,0.0013
cyan,GO:0045893,positive regulation of DNA-templated tra...,4,2,0.1,0.0036
cyan,GO:0006468,protein phosphorylation,779,30,19.49,0.009
darkgreen,GO:0006355,regulation of DNA-templated transcriptio...,452,20,9.98,0.0019
darkgreen,GO:0009228,thiamine biosynthetic process,4,2,0.09,0.0028
darkgreen,GO:0008152,metabolic process,3890,95,85.89,0.0041
darkgrey,GO:0006002,fructose 6-phosphate metabolic process,4,2,0.05,8.6e-4
darkgrey,GO:0006367,transcription initiation at RNA polymera...,6,2,0.07,0.00211
darkgrey,GO:0006334,nucleosome assembly,10,2,0.12,0.00614
darkmagenta,GO:0006355,regulation of DNA-templated transcriptio...,452,6,1.58,0.0034
darkmagenta,GO:0006468,protein phosphorylation,779,6,2.72,0.044
darkorange,GO:0005978,glycogen biosynthetic process,7,4,0.09,7.6e-7
darkorange,GO:0006508,proteolysis,196,7,2.45,0.011
darkorange,GO:0042752,regulation of circadian rhythm,1,1,0.01,0.013
darkorange,GO:0009688,abscisic acid biosynthetic process,1,1,0.01,0.013
darkorange,GO:0019288,isopentenyl diphosphate biosynthetic pro...,1,1,0.01,0.013
darkorange,GO:0050992,dimethylallyl diphosphate biosynthetic p...,1,1,0.01,0.013
darkred,GO:0016559,peroxisome fission,5,2,0.06,0.0012
darkred,GO:0006470,protein dephosphorylation,86,4,0.95,0.0145
darkred,GO:0030150,protein import into mitochondrial matrix,2,1,0.02,0.022
darkturquoise,GO:0015986,proton motive force-driven ATP synthesis,43,28,2.1,3.6e-27
darkturquoise,GO:0009767,photosynthetic electron transport chain,49,48,2.39,3.1e-20
darkturquoise,GO:0019685,"photosynthesis, dark reaction",12,11,0.59,3.5e-14
greenyellow,GO:0006468,protein phosphorylation,779,38,22.22,4.5e-4
greenyellow,GO:0006542,glutamine biosynthetic process,6,2,0.17,0.01124
greenyellow,GO:0005985,sucrose metabolic process,9,2,0.26,0.0255
grey60,GO:0051225,spindle assembly,2,2,0.05,5.2e-4
grey60,GO:0006075,(1->3)-beta-D-glucan biosynthetic proces...,9,3,0.21,9e-4
grey60,GO:0005975,carbohydrate metabolic process,342,18,7.87,0.00201
lightcyan,GO:0019836,hemolysis by symbiont of host erythrocyt...,6,6,0.08,4.4e-12
lightcyan,GO:0019290,siderophore biosynthetic process,34,6,0.45,4.4e-6
lightcyan,GO:0046677,response to antibiotic,1,1,0.01,0.013
lightgreen,GO:0008033,tRNA processing,23,5,0.36,2.4e-5
lightgreen,GO:0007165,signal transduction,234,10,3.7,3.7e-4
lightgreen,GO:0006364,rRNA processing,11,3,0.17,5.8e-4
